	nucleotide metabolism	metabolism of terpenoids and polyketides	glycan biosynthesis and metabolism	metabolism of other secondary metabolites	biosynthesis of other secondary metabolites	lipid metabolism	energy metabolism	metabolism of other amino acids	metabolism of cofactors and vitamins	xenobiotics biodegradation and metabolism	amino acid metabolism	carbohydrate metabolism
DLM022	0.04935597689512305	0.024979525036212164	0.050931898724034336	2.2403405249443884e-06	0.07333164278023711	0.046111351930850225	0.13280448585521806	0.031986741652573515	0.08250294239921323	0.07087025021918503	0.1672251065793129	0.2698978375875155
DLM023	0.040754777303616645	0.02567579423214988	0.045364552285398034	1.3095872697609614e-05	0.06852533437792661	0.041724333273082975	0.12182682585406877	0.03101122537277004	0.09245684558841753	0.06578678075508028	0.17699379632834875	0.28986663875644286
DLM024	0.03302651716657424	0.025142716985354776	0.03131499121836238	0.0	0.06175341837491858	0.04853274384758042	0.12827514487096645	0.039369115795719334	0.08548901296624077	0.08386859513756598	0.1656565077729505	0.29757123586376677
DLM027	0.04457057981865505	0.027810634996237687	0.03690420049729945	1.2825239284706083e-06	0.07508365569296614	0.047929676697713725	0.11890961342871477	0.03433220835541031	0.09197392142277634	0.0716040604971691	0.17968330517960282	0.2711968608895262
DLM028	0.04067229370566055	0.026891513371387208	0.04601862975425	2.360414543152125e-06	0.06866015389965899	0.04437407400718861	0.1192610685703404	0.03419704656701682	0.09130616294885585	0.07533952548679758	0.17300246849862128	0.2802747027756797
DOF002	0.05114723889473681	0.026455908083651024	0.047582379070027846	9.087620919874522e-06	0.07478305285679904	0.048467857277847734	0.12868436606293077	0.03198653793200227	0.09028380305257223	0.07235546002071433	0.16849344570301683	0.2597508634247812
DOF003	0.03971306355726897	0.027316468424561372	0.053078355496250895	4.030962161274419e-06	0.0685296164713431	0.045391085682122634	0.1201362027599179	0.033028352721489206	0.09029487830154283	0.06923615317238646	0.16708858743775748	0.2861832050131979
DOF004	0.038510097981039784	0.028052405829537098	0.050049625184430235	3.558154961824093e-06	0.0673256344264658	0.04287575194847208	0.1215635123500389	0.032513347349036846	0.09787547414773605	0.06890529016382935	0.17568218119956033	0.27664312126489166
DOF006	0.03370693949665576	0.02805237490157179	0.06743924435976904	7.159760480347069e-07	0.06461826866241935	0.03796522785909859	0.11977943201383001	0.03285525801119713	0.09298532963924012	0.06532114997876239	0.16277895890287877	0.294497100198529
DOF007	0.04874029915304356	0.02608609993066311	0.07398212741338545	0.0	0.07365982764822061	0.0396512650977641	0.11184752049635428	0.03003940941700156	0.08881287513748479	0.06300073127527477	0.15355806759803797	0.29062177683276963
DOF008	0.04450956612546875	0.024830130464951763	0.03495110941504881	6.024687994057946e-06	0.07592363800993812	0.048985375956101064	0.11704126025550851	0.03319591037012207	0.08556932729351963	0.07289066495860717	0.17738001805894082	0.2847169744037992
DOF009	0.040105839192952616	0.027040570169388413	0.054993894810502195	1.1027614903676294e-06	0.07000415676292256	0.04005575497461591	0.12352573418704008	0.03246878332001654	0.09320535947737278	0.06759171000777728	0.17296376001610284	0.2780433343198184
DOF010	0.04513394919114211	0.027709069258118873	0.04221622113768753	0.0	0.06789889853463371	0.04485299148087944	0.11692249173938511	0.03373252210357097	0.08987211399409835	0.07609688252786256	0.16786381798551653	0.2877010420471048
DOF011	0.04212628811196748	0.027635131396295507	0.059446078882163245	0.0	0.06925983976106843	0.03507106117376849	0.11942424661748335	0.03370460789363976	0.09867916434618473	0.05519644394822027	0.1701475102326441	0.28930962763656454
DOF012	0.04487542637508669	0.026904907400171933	0.03840265120855552	0.0	0.07414722558876027	0.05045540862203551	0.11022773836054231	0.03406770917566519	0.08911956438293499	0.0811711369528207	0.16897552598125562	0.28165270595217134
DOF013	0.03918572156662146	0.027348440752194156	0.05764890936640455	3.634923855659044e-06	0.06574196653474641	0.039899131771896613	0.11764090062277024	0.030761901929606077	0.10267681677767154	0.06392433721489346	0.17051812877191397	0.28465010976742583
DOF014	0.041630660580681156	0.027370604982532066	0.0477254455087327	5.499969727758135e-07	0.06985983325812932	0.04089182015754767	0.11931298739801635	0.03203742797879118	0.0938300109107687	0.06824195163864336	0.1748355817380579	0.2842631258511269
DOM001	0.042921828877308894	0.02908144678378834	0.050874138627654726	1.0514712008280145e-06	0.06986465486077773	0.04172280221837741	0.12057752397243171	0.03174709178079959	0.09392075450054804	0.069005956264666	0.17492667912959137	0.2753560715128554
DOM003	0.044025089368640774	0.027065126738708395	0.04133667881470671	3.3285557031167483e-07	0.07270290116098856	0.040776101103816076	0.12194899317616652	0.037469012290424285	0.09448610085477205	0.06138128177942664	0.17556846843447532	0.2832399134223043
DOM005	0.03446611449648729	0.02972744910034746	0.07238964761681103	0.0	0.06691722442890499	0.044590571077509744	0.10941876106110014	0.03163994260757623	0.08633881911591199	0.0732429631406798	0.15123482516819553	0.30003368218647575
